Altitude[m]	Temperature[Kelvin]	Pressure[pascal]
820.000	282.820	91854.3
830.000	282.755	91743.4
840.000	282.690	91632.6
850.000	282.625	91521.9
860.000	282.560	91411.3
870.000	282.495	91300.8
880.000	282.430	91190.5
890.000	282.365	91080.2
900.000	282.300	90970.1
910.000	282.235	90860.1
920.000	282.170	90750.1
930.000	282.105	90640.3
940.000	282.040	90530.6
950.000	281.975	90421.0
960.000	281.910	90311.5
970.000	281.845	90202.1
980.000	281.780	90092.8
990.000	281.715	89983.6
1000.00	281.650	89874.6
1010.00	281.585	89765.6
1020.00	281.520	89656.8
1030.00	281.455	89548.0
1040.00	281.390	89439.4
1050.00	281.325	89330.8
1060.00	281.260	89222.4
1070.00	281.195	89114.1
1080.00	281.130	89005.9
1090.00	281.065	88897.8
1100.00	281.000	88789.8
1110.00	280.935	88681.9
1120.00	280.870	88574.1
1130.00	280.805	88466.4
1140.00	280.740	88358.8
1150.00	280.675	88251.3
1160.00	280.610	88144.0
1170.00	280.545	88036.7
1180.00	280.480	87929.6
1190.00	280.415	87822.5
1200.00	280.350	87715.6
1210.00	280.285	87608.7
1220.00	280.220	87502.0
1230.00	280.155	87395.4
1240.00	280.090	87288.9
1250.00	280.025	87182.5
1260.00	279.960	87076.1
1270.00	279.895	86969.9
1280.00	279.830	86863.8
1290.00	279.765	86757.8
1300.00	279.700	86651.9
1310.00	279.635	86546.2
1320.00	279.570	86440.5
1330.00	279.505	86334.9
1340.00	279.440	86229.4
1350.00	279.375	86124.1
1360.00	279.310	86018.8
1370.00	279.245	85913.6
1380.00	279.180	85808.6
1390.00	279.115	85703.6
1400.00	279.050	85598.8
1410.00	278.985	85494.0
1420.00	278.920	85389.4
1430.00	278.855	85284.9
1440.00	278.790	85180.4
1450.00	278.725	85076.1
1460.00	278.660	84971.9
1470.00	278.595	84867.8
1480.00	278.530	84763.7
1490.00	278.465	84659.8
1500.00	278.400	84556.0
1510.00	278.335	84452.3
1520.00	278.270	84348.7
1530.00	278.205	84245.2
1540.00	278.140	84141.8
1550.00	278.075	84038.5
1560.00	278.010	83935.3
1570.00	277.945	83832.2
1580.00	277.880	83729.2
1590.00	277.815	83626.3
1600.00	277.750	83523.5
1610.00	277.685	83420.9
1620.00	277.620	83318.3
1630.00	277.555	83215.8
1640.00	277.490	83113.4
1650.00	277.425	83011.1
1660.00	277.360	82909.0
1670.00	277.295	82806.9
1680.00	277.230	82704.9
1690.00	277.165	82603.1
1700.00	277.100	82501.3
1710.00	277.035	82399.6
1720.00	276.970	82298.1
1730.00	276.905	82196.6
1740.00	276.840	82095.3
1750.00	276.775	81994.0
1760.00	276.710	81892.8
1770.00	276.645	81791.8
1780.00	276.580	81690.8
1790.00	276.515	81590.0
1800.00	276.450	81489.2
1810.00	276.385	81388.6
1820.00	276.320	81288.0
1830.00	276.255	81187.6
1840.00	276.190	81087.2
1850.00	276.125	80987.0
1860.00	276.060	80886.8
1870.00	275.995	80786.8
1880.00	275.930	80686.8
1890.00	275.865	80587.0
1900.00	275.800	80487.2
1910.00	275.735	80387.6
1920.00	275.670	80288.0
1930.00	275.605	80188.6
1940.00	275.540	80089.2
1950.00	275.475	79990.0
1960.00	275.410	79890.8
1970.00	275.345	79791.8
1980.00	275.280	79692.8
1990.00	275.215	79594.0
2000.00	275.150	79495.2
2010.00	275.085	79396.6
2020.00	275.020	79298.0
2030.00	274.955	79199.6
2040.00	274.890	79101.2
2050.00	274.825	79002.9
2060.00	274.760	78904.8
2070.00	274.695	78806.7
2080.00	274.630	78708.8
2090.00	274.565	78610.9
2100.00	274.500	78513.1
2110.00	274.435	78415.5
2120.00	274.370	78317.9
2130.00	274.305	78220.4
2140.00	274.240	78123.1
2150.00	274.175	78025.8
2160.00	274.110	77928.6
2170.00	274.045	77831.5
2180.00	273.980	77734.6
2190.00	273.915	77637.7
2200.00	273.850	77540.9
2210.00	273.785	77444.2
2220.00	273.720	77347.6
2230.00	273.655	77251.1
2240.00	273.590	77154.7
2250.00	273.525	77058.5
2260.00	273.460	76962.3
2270.00	273.395	76866.2
2280.00	273.330	76770.2
2290.00	273.265	76674.3
2300.00	273.200	76578.4
2310.00	273.135	76482.7
2320.00	273.070	76387.1
2330.00	273.005	76291.6
2340.00	272.940	76196.2
2350.00	272.875	76100.9
2360.00	272.810	76005.6
2370.00	272.745	75910.5
2380.00	272.680	75815.5
2390.00	272.615	75720.5
2400.00	272.550	75625.7
2410.00	272.485	75530.9
2420.00	272.420	75436.3
2430.00	272.355	75341.7
2440.00	272.290	75247.3
2450.00	272.225	75152.9
2460.00	272.160	75058.6
2470.00	272.095	74964.5
2480.00	272.030	74870.4
2490.00	271.965	74776.4
2500.00	271.900	74682.5
2510.00	271.835	74588.7
2520.00	271.770	74495.1
2530.00	271.705	74401.5
2540.00	271.640	74308.0
2550.00	271.575	74214.5
2560.00	271.510	74121.2
2570.00	271.445	74028.0
2580.00	271.380	73934.9
2590.00	271.315	73841.9
2600.00	271.250	73748.9
2610.00	271.185	73656.1
2620.00	271.120	73563.4
2630.00	271.055	73470.7
2640.00	270.990	73378.2
2650.00	270.925	73285.7
2660.00	270.860	73193.3
2670.00	270.795	73101.1
2680.00	270.730	73008.9
2690.00	270.665	72916.8
2700.00	270.600	72824.8
2710.00	270.535	72732.9
2720.00	270.470	72641.1
2730.00	270.405	72549.4
2740.00	270.340	72457.8
2750.00	270.275	72366.3
2760.00	270.210	72274.9
2770.00	270.145	72183.5
2780.00	270.080	72092.3
2790.00	270.015	72001.1
2800.00	269.950	71910.1
2810.00	269.885	71819.1
2820.00	269.820	71728.3
2830.00	269.755	71637.5
2840.00	269.690	71546.8
2850.00	269.625	71456.2
2860.00	269.560	71365.7
2870.00	269.495	71275.3
2880.00	269.430	71185.0
2890.00	269.365	71094.8
2900.00	269.300	71004.7
2910.00	269.235	70914.7
2920.00	269.170	70824.7
2930.00	269.105	70734.9
2940.00	269.040	70645.1
2950.00	268.975	70555.5
2960.00	268.910	70465.9
2970.00	268.845	70376.4
2980.00	268.780	70287.0
2990.00	268.715	70197.7
3000.00	268.650	70108.5
3010.00	268.585	70019.4
3020.00	268.520	69930.4
3030.00	268.455	69841.5
3040.00	268.390	69752.7
3050.00	268.325	69663.9
3060.00	268.260	69575.3
3070.00	268.195	69486.7
3080.00	268.130	69398.2
3090.00	268.065	69309.9
3100.00	268.000	69221.6
3110.00	267.935	69133.4
3120.00	267.870	69045.3
3130.00	267.805	68957.3
3140.00	267.740	68869.3
3150.00	267.675	68781.5
3160.00	267.610	68693.8
3170.00	267.545	68606.1
3180.00	267.480	68518.6
3190.00	267.415	68431.1
3200.00	267.350	68343.7
3210.00	267.285	68256.4
3220.00	267.220	68169.2
3230.00	267.155	68082.1
3240.00	267.090	67995.1
3250.00	267.025	67908.2
3260.00	266.960	67821.3
3270.00	266.895	67734.6
3280.00	266.830	67647.9
3290.00	266.765	67561.4
3300.00	266.700	67474.9
3310.00	266.635	67388.5
3320.00	266.570	67302.2
3330.00	266.505	67216.0
3340.00	266.440	67129.9
3350.00	266.375	67043.9
3360.00	266.310	66957.9
3370.00	266.245	66872.1
3380.00	266.180	66786.3
3390.00	266.115	66700.6
3400.00	266.050	66615.0
3410.00	265.985	66529.6
3420.00	265.920	66444.1
3430.00	265.855	66358.8
3440.00	265.790	66273.6
3450.00	265.725	66188.5
3460.00	265.660	66103.4
3470.00	265.595	66018.4
3480.00	265.530	65933.6
3490.00	265.465	65848.8
3500.00	265.400	65764.1
3510.00	265.335	65679.5
3520.00	265.270	65595.0
3530.00	265.205	65510.5
3540.00	265.140	65426.2
3550.00	265.075	65341.9
3560.00	265.010	65257.7
3570.00	264.945	65173.7
3580.00	264.880	65089.7
3590.00	264.815	65005.8
3600.00	264.750	64921.9
3610.00	264.685	64838.2
3620.00	264.620	64754.6
3630.00	264.555	64671.0
3640.00	264.490	64587.5
3650.00	264.425	64504.2
3660.00	264.360	64420.9
3670.00	264.295	64337.7
3680.00	264.230	64254.5
3690.00	264.165	64171.5
3700.00	264.100	64088.6
3710.00	264.035	64005.7
3720.00	263.970	63922.9
3730.00	263.905	63840.2
3740.00	263.840	63757.6
3750.00	263.775	63675.1
3760.00	263.710	63592.7
3770.00	263.645	63510.4
3780.00	263.580	63428.1
3790.00	263.515	63345.9
3800.00	263.450	63263.9
3810.00	263.385	63181.9
3820.00	263.320	63100.0
3830.00	263.255	63018.1
3840.00	263.190	62936.4
3850.00	263.125	62854.7
3860.00	263.060	62773.2
3870.00	262.995	62691.7
3880.00	262.930	62610.3
3890.00	262.865	62529.0
3900.00	262.800	62447.8
3910.00	262.735	62366.6
3920.00	262.670	62285.6
3930.00	262.605	62204.6
3940.00	262.540	62123.7
3950.00	262.475	62042.9
3960.00	262.410	61962.2
3970.00	262.345	61881.6
3980.00	262.280	61801.1
3990.00	262.215	61720.6
4000.00	262.150	61640.2
4010.00	262.085	61559.9
4020.00	262.020	61479.7
4030.00	261.955	61399.6
4040.00	261.890	61319.6
4050.00	261.825	61239.6
4060.00	261.760	61159.8
4070.00	261.695	61080.0
4080.00	261.630	61000.3
4090.00	261.565	60920.7
4100.00	261.500	60841.2
4110.00	261.435	60761.7
4120.00	261.370	60682.4
4130.00	261.305	60603.1
4140.00	261.240	60523.9
4150.00	261.175	60444.8
4160.00	261.110	60365.8
4170.00	261.045	60286.8
4180.00	260.980	60208.0
4190.00	260.915	60129.2
4200.00	260.850	60050.5
4210.00	260.785	59971.9
4220.00	260.720	59893.4
4230.00	260.655	59814.9
4240.00	260.590	59736.6
4250.00	260.525	59658.3
4260.00	260.460	59580.1
4270.00	260.395	59502.0
4280.00	260.330	59424.0
4290.00	260.265	59346.1
4300.00	260.200	59268.2
4310.00	260.135	59190.4
4320.00	260.070	59112.7
4330.00	260.005	59035.1
4340.00	259.940	58957.6
4350.00	259.875	58880.1
4360.00	259.810	58802.8
4370.00	259.745	58725.5
4380.00	259.680	58648.3
4390.00	259.615	58571.2
4400.00	259.550	58494.2
4410.00	259.485	58417.2
4420.00	259.420	58340.3
4430.00	259.355	58263.5
4440.00	259.290	58186.8
4450.00	259.225	58110.2
4460.00	259.160	58033.7
4470.00	259.095	57957.2
4480.00	259.030	57880.8
4490.00	258.965	57804.5
4500.00	258.900	57728.3
4510.00	258.835	57652.2
4520.00	258.770	57576.1
4530.00	258.705	57500.2
4540.00	258.640	57424.3
4550.00	258.575	57348.5
4560.00	258.510	57272.7
4570.00	258.445	57197.1
4580.00	258.380	57121.5
4590.00	258.315	57046.0
4600.00	258.250	56970.6
4610.00	258.185	56895.3
4620.00	258.120	56820.1
4630.00	258.055	56744.9
4640.00	257.990	56669.8
4650.00	257.925	56594.8
4660.00	257.860	56519.9
4670.00	257.795	56445.0
4680.00	257.730	56370.3
4690.00	257.665	56295.6
4700.00	257.600	56221.0
4710.00	257.535	56146.5
4720.00	257.470	56072.0
4730.00	257.405	55997.7
4740.00	257.340	55923.4
4750.00	257.275	55849.2
4760.00	257.210	55775.1
4770.00	257.145	55701.0
4780.00	257.080	55627.1
4790.00	257.015	55553.2
4800.00	256.950	55479.4
4810.00	256.885	55405.7
4820.00	256.820	55332.0
4830.00	256.755	55258.5
4840.00	256.690	55185.0
4850.00	256.625	55111.6
4860.00	256.560	55038.2
4870.00	256.495	54965.0
4880.00	256.430	54891.8
4890.00	256.365	54818.7
4900.00	256.300	54745.7
4910.00	256.235	54672.8
4920.00	256.170	54599.9
4930.00	256.105	54527.1
4940.00	256.040	54454.5
4950.00	255.975	54381.8
4960.00	255.910	54309.3
4970.00	255.845	54236.8
4980.00	255.780	54164.4
4990.00	255.715	54092.1
5000.00	255.650	54019.9
5010.00	255.585	53947.8
5020.00	255.520	53875.7
5030.00	255.455	53803.7
5040.00	255.390	53731.8
5050.00	255.325	53659.9
5060.00	255.260	53588.2
5070.00	255.195	53516.5
5080.00	255.130	53444.9
5090.00	255.065	53373.4
5100.00	255.000	53301.9
5110.00	254.935	53230.6
5120.00	254.870	53159.3
5130.00	254.805	53088.0
5140.00	254.740	53016.9
5150.00	254.675	52945.8
5160.00	254.610	52874.9
5170.00	254.545	52803.9
5180.00	254.480	52733.1
5190.00	254.415	52662.4
5200.00	254.350	52591.7
5210.00	254.285	52521.1
5220.00	254.220	52450.6
5230.00	254.155	52380.1
5240.00	254.090	52309.7
5250.00	254.025	52239.4
5260.00	253.960	52169.2
5270.00	253.895	52099.1
5280.00	253.830	52029.0
5290.00	253.765	51959.0
5300.00	253.700	51889.1
5310.00	253.635	51819.3
5320.00	253.570	51749.5
5330.00	253.505	51679.8
5340.00	253.440	51610.2
5350.00	253.375	51540.7
5360.00	253.310	51471.3
5370.00	253.245	51401.9
5380.00	253.180	51332.6
5390.00	253.115	51263.3
5400.00	253.050	51194.2
5410.00	252.985	51125.1
5420.00	252.920	51056.1
5430.00	252.855	50987.2
5440.00	252.790	50918.3
5450.00	252.725	50849.6
5460.00	252.660	50780.9
5470.00	252.595	50712.2
5480.00	252.530	50643.7
5490.00	252.465	50575.2
5500.00	252.400	50506.8
5510.00	252.335	50438.5
5520.00	252.270	50370.2
5530.00	252.205	50302.1
5540.00	252.140	50234.0
5550.00	252.075	50165.9
5560.00	252.010	50098.0
5570.00	251.945	50030.1
5580.00	251.880	49962.3
5590.00	251.815	49894.6
5600.00	251.750	49826.9
5610.00	251.685	49759.3
5620.00	251.620	49691.8
5630.00	251.555	49624.4
5640.00	251.490	49557.0
5650.00	251.425	49489.8
5660.00	251.360	49422.5
5670.00	251.295	49355.4
5680.00	251.230	49288.4
5690.00	251.165	49221.4
5700.00	251.100	49154.5
5710.00	251.035	49087.6
5720.00	250.970	49020.8
5730.00	250.905	48954.2
5740.00	250.840	48887.5
5750.00	250.775	48821.0
5760.00	250.710	48754.5
5770.00	250.645	48688.1
5780.00	250.580	48621.8
5790.00	250.515	48555.5
5800.00	250.450	48489.4
5810.00	250.385	48423.3
5820.00	250.320	48357.2
5830.00	250.255	48291.3
5840.00	250.190	48225.4
5850.00	250.125	48159.6
5860.00	250.060	48093.8
5870.00	249.995	48028.1
5880.00	249.930	47962.5
5890.00	249.865	47897.0
5900.00	249.800	47831.6
5910.00	249.735	47766.2
5920.00	249.670	47700.9
5930.00	249.605	47635.6
5940.00	249.540	47570.5
5950.00	249.475	47505.4
5960.00	249.410	47440.4
5970.00	249.345	47375.4
5980.00	249.280	47310.6
5990.00	249.215	47245.8
6000.00	249.150	47181.0
6010.00	249.085	47116.4
6020.00	249.020	47051.8
6030.00	248.955	46987.3
6040.00	248.890	46922.8
6050.00	248.825	46858.5
6060.00	248.760	46794.2
6070.00	248.695	46729.9
6080.00	248.630	46665.8
6090.00	248.565	46601.7
6100.00	248.500	46537.7
6110.00	248.435	46473.7
6120.00	248.370	46409.9
6130.00	248.305	46346.1
6140.00	248.240	46282.3
6150.00	248.175	46218.7
6160.00	248.110	46155.1
6170.00	248.045	46091.6
6180.00	247.980	46028.1
6190.00	247.915	45964.7
6200.00	247.850	45901.4
6210.00	247.785	45838.2
6220.00	247.720	45775.0
6230.00	247.655	45711.9
6240.00	247.590	45648.9
6250.00	247.525	45586.0
6260.00	247.460	45523.1
6270.00	247.395	45460.3
6280.00	247.330	45397.5
6290.00	247.265	45334.9
6300.00	247.200	45272.3
6310.00	247.135	45209.7
6320.00	247.070	45147.3
6330.00	247.005	45084.9
6340.00	246.940	45022.5
6350.00	246.875	44960.3
6360.00	246.810	44898.1
6370.00	246.745	44836.0
6380.00	246.680	44774.0
6390.00	246.615	44712.0
6400.00	246.550	44650.1
6410.00	246.485	44588.2
6420.00	246.420	44526.5
6430.00	246.355	44464.8
6440.00	246.290	44403.2
6450.00	246.225	44341.6
6460.00	246.160	44280.1
6470.00	246.095	44218.7
6480.00	246.030	44157.3
6490.00	245.965	44096.1
6500.00	245.900	44034.8
6510.00	245.835	43973.7
6520.00	245.770	43912.6
6530.00	245.705	43851.6
6540.00	245.640	43790.7
6550.00	245.575	43729.8
6560.00	245.510	43669.0
6570.00	245.445	43608.3
6580.00	245.380	43547.6
6590.00	245.315	43487.0
6600.00	245.250	43426.5
6610.00	245.185	43366.0
6620.00	245.120	43305.6
6630.00	245.055	43245.3
6640.00	244.990	43185.1
6650.00	244.925	43124.9
6660.00	244.860	43064.8
6670.00	244.795	43004.7
6680.00	244.730	42944.7
6690.00	244.665	42884.8
6700.00	244.600	42825.0
6710.00	244.535	42765.2
6720.00	244.470	42705.5
6730.00	244.405	42645.8
6740.00	244.340	42586.3
6750.00	244.275	42526.7
6760.00	244.210	42467.3
6770.00	244.145	42407.9
6780.00	244.080	42348.6
6790.00	244.015	42289.4
6800.00	243.950	42230.2
6810.00	243.885	42171.1
6820.00	243.820	42112.1
6830.00	243.755	42053.1
6840.00	243.690	41994.2
6850.00	243.625	41935.3
6860.00	243.560	41876.6
6870.00	243.495	41817.9
6880.00	243.430	41759.2
6890.00	243.365	41700.7
6900.00	243.300	41642.2
6910.00	243.235	41583.7
6920.00	243.170	41525.3
6930.00	243.105	41467.0
6940.00	243.040	41408.8
6950.00	242.975	41350.6
6960.00	242.910	41292.5
6970.00	242.845	41234.5
6980.00	242.780	41176.5
6990.00	242.715	41118.6
7000.00	242.650	41060.7
7010.00	242.585	41003.0
7020.00	242.520	40945.3
7030.00	242.455	40887.6
7040.00	242.390	40830.0
7050.00	242.325	40772.5
7060.00	242.260	40715.1
7070.00	242.195	40657.7
7080.00	242.130	40600.4
7090.00	242.065	40543.1
7100.00	242.000	40485.9
7110.00	241.935	40428.8
7120.00	241.870	40371.7
7130.00	241.805	40314.8
7140.00	241.740	40257.8
7150.00	241.675	40201.0
7160.00	241.610	40144.2
7170.00	241.545	40087.4
7180.00	241.480	40030.8
7190.00	241.415	39974.2
7200.00	241.350	39917.6
7210.00	241.285	39861.2
7220.00	241.220	39804.8
7230.00	241.155	39748.4
7240.00	241.090	39692.1
7250.00	241.025	39635.9
7260.00	240.960	39579.8
7270.00	240.895	39523.7
7280.00	240.830	39467.7
7290.00	240.765	39411.7
7300.00	240.700	39355.8
7310.00	240.635	39300.0
7320.00	240.570	39244.2
7330.00	240.505	39188.5
7340.00	240.440	39132.9
7350.00	240.375	39077.3
7360.00	240.310	39021.8
7370.00	240.245	38966.4
7380.00	240.180	38911.0
7390.00	240.115	38855.7
7400.00	240.050	38800.4
7410.00	239.985	38745.3
7420.00	239.920	38690.1
7430.00	239.855	38635.1
7440.00	239.790	38580.1
7450.00	239.725	38525.1
7460.00	239.660	38470.3
7470.00	239.595	38415.5
7480.00	239.530	38360.7
7490.00	239.465	38306.0
7500.00	239.400	38251.4
7510.00	239.335	38196.9
7520.00	239.270	38142.4
7530.00	239.205	38087.9
7540.00	239.140	38033.6
7550.00	239.075	37979.3
7560.00	239.010	37925.0
7570.00	238.945	37870.9
7580.00	238.880	37816.7
7590.00	238.815	37762.7
7600.00	238.750	37708.7
7610.00	238.685	37654.8
7620.00	238.620	37600.9
7630.00	238.555	37547.1
7640.00	238.490	37493.4
7650.00	238.425	37439.7
7660.00	238.360	37386.1
7670.00	238.295	37332.5
7680.00	238.230	37279.0
7690.00	238.165	37225.6
7700.00	238.100	37172.2
7710.00	238.035	37118.9
7720.00	237.970	37065.7
7730.00	237.905	37012.5
7740.00	237.840	36959.4
7750.00	237.775	36906.3
7760.00	237.710	36853.3
7770.00	237.645	36800.4
7780.00	237.580	36747.5
7790.00	237.515	36694.7
7800.00	237.450	36642.0
7810.00	237.385	36589.3
7820.00	237.320	36536.7
7830.00	237.255	36484.1
7840.00	237.190	36431.6
7850.00	237.125	36379.1
7860.00	237.060	36326.8
7870.00	236.995	36274.4
7880.00	236.930	36222.2
7890.00	236.865	36170.0
7900.00	236.800	36117.8
7910.00	236.735	36065.8
7920.00	236.670	36013.8
7930.00	236.605	35961.8
7940.00	236.540	35909.9
7950.00	236.475	35858.1
7960.00	236.410	35806.3
7970.00	236.345	35754.6
7980.00	236.280	35702.9
7990.00	236.215	35651.3
8000.00	236.150	35599.8
8010.00	236.085	35548.3
8020.00	236.020	35496.9
8030.00	235.955	35445.6
8040.00	235.890	35394.3
8050.00	235.825	35343.1
8060.00	235.760	35291.9
8070.00	235.695	35240.8
8080.00	235.630	35189.7
8090.00	235.565	35138.7
8100.00	235.500	35087.8
8110.00	235.435	35036.9
8120.00	235.370	34986.1
8130.00	235.305	34935.4
8140.00	235.240	34884.7
8150.00	235.175	34834.0
8160.00	235.110	34783.5
8170.00	235.045	34733.0
8180.00	234.980	34682.5
8190.00	234.915	34632.1
8200.00	234.850	34581.8
8210.00	234.785	34531.5
8220.00	234.720	34481.3
8230.00	234.655	34431.1
8240.00	234.590	34381.0
8250.00	234.525	34331.0
8260.00	234.460	34281.0
8270.00	234.395	34231.1
8280.00	234.330	34181.2
8290.00	234.265	34131.4
8300.00	234.200	34081.7
8310.00	234.135	34032.0
8320.00	234.070	33982.4
8330.00	234.005	33932.8
8340.00	233.940	33883.3
8350.00	233.875	33833.8
8360.00	233.810	33784.4
8370.00	233.745	33735.1
8380.00	233.680	33685.8
8390.00	233.615	33636.6
8400.00	233.550	33587.5
8410.00	233.485	33538.3
8420.00	233.420	33489.3
8430.00	233.355	33440.3
8440.00	233.290	33391.4
8450.00	233.225	33342.5
8460.00	233.160	33293.7
8470.00	233.095	33245.0
8480.00	233.030	33196.3
8490.00	232.965	33147.6
8500.00	232.900	33099.0
8510.00	232.835	33050.5
8520.00	232.770	33002.1
8530.00	232.705	32953.6
8540.00	232.640	32905.3
8550.00	232.575	32857.0
8560.00	232.510	32808.8
8570.00	232.445	32760.6
8580.00	232.380	32712.5
8590.00	232.315	32664.4
8600.00	232.250	32616.4
8610.00	232.185	32568.4
8620.00	232.120	32520.6
8630.00	232.055	32472.7
8640.00	231.990	32424.9
8650.00	231.925	32377.2
8660.00	231.860	32329.6
8670.00	231.795	32282.0
8680.00	231.730	32234.4
8690.00	231.665	32186.9
8700.00	231.600	32139.5
8710.00	231.535	32092.1
8720.00	231.470	32044.8
8730.00	231.405	31997.5
8740.00	231.340	31950.3
8750.00	231.275	31903.1
8760.00	231.210	31856.0
8770.00	231.145	31809.0
8780.00	231.080	31762.0
8790.00	231.015	31715.1
8800.00	230.950	31668.2
8810.00	230.885	31621.4
8820.00	230.820	31574.6
8830.00	230.755	31527.9
8840.00	230.690	31481.3
8850.00	230.625	31434.7
8860.00	230.560	31388.1
8870.00	230.495	31341.7
8880.00	230.430	31295.2
8890.00	230.365	31248.9
8900.00	230.300	31202.6
8910.00	230.235	31156.3
8920.00	230.170	31110.1
8930.00	230.105	31063.9
8940.00	230.040	31017.9
8950.00	229.975	30971.8
8960.00	229.910	30925.8
8970.00	229.845	30879.9
8980.00	229.780	30834.0
8990.00	229.715	30788.2
9000.00	229.650	30742.5
9010.00	229.585	30696.8
9020.00	229.520	30651.1
9030.00	229.455	30605.5
9040.00	229.390	30560.0
9050.00	229.325	30514.5
9060.00	229.260	30469.0
9070.00	229.195	30423.7
9080.00	229.130	30378.4
9090.00	229.065	30333.1
9100.00	229.000	30287.9
9110.00	228.935	30242.7
9120.00	228.870	30197.6
9130.00	228.805	30152.6
9140.00	228.740	30107.6
9150.00	228.675	30062.6
9160.00	228.610	30017.7
9170.00	228.545	29972.9
9180.00	228.480	29928.1
9190.00	228.415	29883.4
9200.00	228.350	29838.7
9210.00	228.285	29794.1
9220.00	228.220	29749.6
9230.00	228.155	29705.1
9240.00	228.090	29660.6
9250.00	228.025	29616.2
9260.00	227.960	29571.9
9270.00	227.895	29527.6
9280.00	227.830	29483.3
9290.00	227.765	29439.2
9300.00	227.700	29395.0
9310.00	227.635	29351.0
9320.00	227.570	29306.9
9330.00	227.505	29263.0
9340.00	227.440	29219.0
9350.00	227.375	29175.2
9360.00	227.310	29131.4
9370.00	227.245	29087.6
9380.00	227.180	29043.9
9390.00	227.115	29000.3
9400.00	227.050	28956.7
9410.00	226.985	28913.1
9420.00	226.920	28869.6
9430.00	226.855	28826.2
9440.00	226.790	28782.8
9450.00	226.725	28739.5
9460.00	226.660	28696.2
9470.00	226.595	28653.0
9480.00	226.530	28609.8
9490.00	226.465	28566.7
9500.00	226.400	28523.6
9510.00	226.335	28480.6
9520.00	226.270	28437.6
9530.00	226.205	28394.7
9540.00	226.140	28351.9
9550.00	226.075	28309.1
9560.00	226.010	28266.3
9570.00	225.945	28223.6
9580.00	225.880	28181.0
9590.00	225.815	28138.4
9600.00	225.750	28095.8
9610.00	225.685	28053.3
9620.00	225.620	28010.9
9630.00	225.555	27968.5
9640.00	225.490	27926.2
9650.00	225.425	27883.9
9660.00	225.360	27841.7
9670.00	225.295	27799.5
9680.00	225.230	27757.3
9690.00	225.165	27715.3
9700.00	225.100	27673.2
9710.00	225.035	27631.3
9720.00	224.970	27589.3
9730.00	224.905	27547.5
9740.00	224.840	27505.7
9750.00	224.775	27463.9
9760.00	224.710	27422.2
9770.00	224.645	27380.5
9780.00	224.580	27338.9
9790.00	224.515	27297.3
9800.00	224.450	27255.8
9810.00	224.385	27214.4
9820.00	224.320	27172.9
9830.00	224.255	27131.6
9840.00	224.190	27090.3
9850.00	224.125	27049.0
9860.00	224.060	27007.8
9870.00	223.995	26966.7
9880.00	223.930	26925.6
9890.00	223.865	26884.5
9900.00	223.800	26843.5
9910.00	223.735	26802.6
9920.00	223.670	26761.7
9930.00	223.605	26720.8
9940.00	223.540	26680.0
9950.00	223.475	26639.3
9960.00	223.410	26598.6
9970.00	223.345	26557.9
9980.00	223.280	26517.3
9990.00	223.215	26476.8
10000.0	223.150	26436.3
10010.0	223.085	26395.8
10020.0	223.020	26355.4
